#,Company,Symbol,Weight,Price,Chg,% Chg
137,United Parcel Service Inc,UPS,0.13%,101.02,2.77,2.82%
138,Elevance Health Inc,ELV,0.13%,394.69,4.87,1.25%
139,American Tower Corp,AMT,0.13%,183.85,0.07,0.04%
140,SLB Ltd,SLB,0.13%,57.28,0.03,0.05%
141,US Bancorp,USB,0.13%,54.83,0.27,0.49%
142,Monster Beverage Corp,MNST,0.13%,86.79,0.47,0.54%
143,CSX Corp,CSX,0.12%,45.52,-0.38,-0.83%
144,KKR & Co Inc,KKR,0.12%,94.04,-0.72,-0.76%
145,Johnson Controls International plc,JCI,0.12%,138.36,2.89,2.13%
146,Ciena,CIEN,0.12%,583.74,-3.49,-0.59%
147,NXP Semiconductors NV,NXPI,0.12%,316.47,17.09,5.71%
148,3M Co,MMM,0.12%,152.44,0.84,0.55%
149,Mondelez International Inc,MDLZ,0.12%,61.76,0.26,0.42%
150,Datadog Inc,DDOG,0.12%,222.32,4.28,1.96%
151,Marsh & McLennan Cos Inc,MRSH,0.12%,164.11,-1.01,-0.61%
152,Northrop Grumman Corp,NOC,0.12%,555.58,4.0,0.73%
153,Airbnb Inc,ABNB,0.12%,132.35,-1.9,-1.42%
154,Moody's Corp,MCO,0.12%,449.12,3.75,0.84%
155,Monolithic Power Systems Inc,MPWR,0.12%,1589.81,28.56,1.83%
156,Emerson Electric Co,EMR,0.11%,136.42,1.52,1.13%
157,Sherwin-Williams Co/The,SHW,0.11%,309.08,-0.26,-0.08%
158,O'Reilly Automotive Inc,ORLY,0.11%,91.74,-0.6,-0.65%
159,Cigna Group/The,CI,0.11%,286.24,4.22,1.50%
160,Ross Stores Inc,ROST,0.11%,234.81,17.62,8.11%
161,EOG Resources Inc,EOG,0.11%,141.22,1.24,0.89%
162,Kinder Morgan Inc,KMI,0.11%,33.79,0.29,0.87%
163,Marathon Petroleum Corp,MPC,0.11%,254.65,6.22,2.50%
164,Apollo Global Management Inc,APO,0.11%,128.51,-2.39,-1.83%
165,Coherent,COHR,0.11%,377.57,-0.43,-0.11%
166,Lumentum Holdings,LITE,0.11%,946.9,-17.6,-1.82%
167,Valero Energy Corp,VLO,0.11%,246.96,5.87,2.43%
168,Hilton Worldwide Holdings Inc,HLT,0.11%,321.08,-1.68,-0.52%
169,Illinois Tool Works Inc,ITW,0.11%,252.2,2.27,0.91%
170,Colgate-Palmolive Co,CL,0.11%,90.61,0.17,0.19%
171,American Electric Power Co Inc,AEP,0.11%,131.59,1.98,1.53%
172,Ecolab Inc,ECL,0.11%,253.32,3.14,1.26%
173,Phillips 66,PSX,0.11%,177.69,3.64,2.09%
174,General Motors Co,GM,0.10%,78.79,1.58,2.05%
175,Norfolk Southern Corp,NSC,0.10%,314.53,3.09,0.99%
176,DoorDash Inc,DASH,0.10%,160.25,0.98,0.62%
177,Aon PLC,AON,0.10%,324.78,0.56,0.17%
178,Cintas Corp,CTAS,0.10%,172.93,0.57,0.33%
179,Royal Caribbean Cruises Ltd,RCL,0.10%,256.1,-4.22,-1.62%
180,TransDigm Group Inc,TDG,0.10%,1213.51,4.19,0.35%
181,Warner Bros Discovery Inc,WBD,0.10%,27.03,-0.07,-0.26%
182,Digital Realty Trust Inc,DLR,0.10%,192.03,-2.24,-1.15%
183,Motorola Solutions Inc,MSI,0.10%,404.08,3.84,0.96%
184,CRH PLC,CRH,0.10%,100.37,-0.66,-0.65%
185,Regeneron Pharmaceuticals Inc,REGN,0.10%,638.88,-3.71,-0.58%
186,Robinhood Markets Inc,HOOD,0.10%,73.64,-2.28,-3.00%
187,Simon Property Group Inc,SPG,0.10%,204.41,-0.49,-0.24%
188,NIKE Inc,NKE,0.10%,44.67,0.28,0.63%
189,Baker Hughes Co,BKR,0.10%,66.06,0.26,0.40%
190,Travelers Cos Inc/The,TRV,0.10%,306.46,-0.77,-0.25%
191,Air Products and Chemicals Inc,APD,0.10%,289.47,-0.72,-0.25%
192,Comfort Systems USA Inc,FIX,0.09%,1828.25,-7.08,-0.39%
193,Republic Services Inc,RSG,0.09%,208.93,0.84,0.40%
194,Sempra,SRE,0.09%,92.8,1.25,1.37%
195,Truist Financial Corp,TFC,0.09%,48.38,0.49,1.02%
196,Aflac Inc,AFL,0.09%,117.86,0.05,0.04%
197,Dominion Energy Inc,D,0.09%,67.67,-0.62,-0.91%
198,Ford Motor Co,F,0.09%,14.93,1.26,9.22%
199,Targa Resources Corp,TRGP,0.09%,276.75,6.51,2.41%
200,ONEOK Inc,OKE,0.09%,94.03,1.41,1.52%
201,TE Connectivity PLC,TEL,0.09%,202.78,0.21,0.10%
202,Keysight Technologies Inc,KEYS,0.09%,346.56,9.01,2.67%
203,WW Grainger Inc,GWW,0.09%,1247.79,8.53,0.69%
204,United Rentals Inc,URI,0.09%,938.62,6.44,0.69%
205,Occidental Petroleum Corp,OXY,0.09%,58.81,-0.02,-0.03%
206,L3Harris Technologies Inc,LHX,0.09%,311.98,5.65,1.84%
207,Realty Income Corp,O,0.09%,62.02,-0.21,-0.34%
208,PACCAR Inc,PCAR,0.08%,109.35,0.01,0.01%
209,Target Corp,TGT,0.08%,125.6,-0.55,-0.44%
210,Diamondback Energy Inc,FANG,0.08%,200.71,-0.26,-0.13%
211,AutoZone Inc,AZO,0.08%,3406.5,-31.68,-0.92%
212,Teradyne Inc,TER,0.08%,358.44,5.0,1.41%
213,Allstate Corp/The,ALL,0.08%,216.6,2.16,1.01%
214,Devon Energy Corp,DVN,0.08%,47.22,0.11,0.23%
215,MetLife Inc,MET,0.08%,84.06,-0.24,-0.28%
216,Public Storage,PSA,0.08%,305.25,0.26,0.09%
217,Cencora Inc,COR,0.08%,274.91,9.47,3.57%
218,Corteva Inc,CTVA,0.08%,79.56,0.52,0.66%
219,Nucor Corp,NUE,0.08%,232.0,5.56,2.46%
220,Vistra Corp,VST,0.08%,156.27,7.19,4.82%
221,Arthur J Gallagher & Co,AJG,0.08%,204.75,-2.66,-1.28%
222,Carrier Global Corp,CARR,0.08%,63.14,0.96,1.54%
223,Nasdaq Inc,NDAQ,0.08%,91.01,0.6,0.66%
224,Entergy Corp,ETR,0.08%,112.4,0.13,0.12%
225,AMETEK Inc,AME,0.08%,224.52,1.35,0.60%
226,eBay Inc,EBAY,0.08%,115.75,-1.38,-1.18%
227,Autodesk Inc,ADSK,0.08%,240.99,0.8,0.33%
228,Microchip Technology Inc,MCHP,0.07%,93.43,2.32,2.55%
229,Xcel Energy Inc,XEL,0.07%,81.08,0.88,1.10%
230,Fastenal Co,FAST,0.07%,43.94,0.41,0.94%
231,Electronic Arts Inc,EA,0.07%,200.97,-0.9,-0.45%
232,Rockwell Automation Inc,ROK,0.07%,452.29,12.04,2.73%
233,Delta Air Lines Inc,DAL,0.07%,76.14,0.49,0.65%
234,Hewlett Packard Enterprise Co,HPE,0.07%,37.58,3.61,10.63%
235,Edwards Lifesciences Corp,EW,0.07%,85.78,2.58,3.10%
236,Carvana Co,CVNA,0.07%,68.28,3.89,6.04%
237,Coinbase Global Inc,COIN,0.07%,184.99,-8.57,-4.43%
238,Exelon Corp,EXC,0.07%,46.23,0.88,1.94%
239,Cardinal Health Inc,CAH,0.07%,200.68,0.07,0.03%
240,Garmin Ltd,GRMN,0.07%,240.71,0.93,0.39%
241,ON Semiconductor Corp,ON,0.07%,116.2,6.59,6.01%
242,Fifth Third Bancorp,FITB,0.07%,49.48,0.32,0.65%
243,IDEXX Laboratories Inc,IDXX,0.07%,559.37,6.3,1.14%
244,Old Dominion Freight Line Inc,ODFL,0.06%,210.47,2.78,1.34%
245,Westinghouse Air Brake Technologies Corp,WAB,0.06%,256.41,1.25,0.49%
246,Ventas Inc,VTR,0.06%,88.18,0.18,0.20%
247,MSCI Inc,MSCI,0.06%,588.55,6.21,1.07%
248,Yum! Brands Inc,YUM,0.06%,155.15,0.83,0.54%
249,State Street Corp,STT,0.06%,153.95,0.26,0.17%
250,Chipotle Mexican Grill Inc,CMG,0.06%,32.89,0.09,0.27%
251,Take-Two Interactive Software Inc,TTWO,0.06%,227.55,-10.53,-4.42%
252,Kroger Co/The,KR,0.06%,67.25,0.18,0.27%
253,American International Group Inc,AIG,0.06%,77.05,-1.57,-2.00%
254,DR Horton Inc,DHI,0.06%,143.73,-0.41,-0.28%
255,Becton Dickinson & Co,BDX,0.06%,147.63,1.38,0.94%
256,Ameriprise Financial Inc,AMP,0.06%,452.31,1.74,0.39%
